ID,tweet,label
T000452436,b'well my senior year is looking pretty tough #sarcasmthu mar 225117 pkt,sarcastic
T000452437,b'well home alone once again going to be a blast,sarcastic
T000452438,b'#sarcasmsun mar 053841 ist,sarcastic
T000452439,"b""Nice pass Right into a double team You're so smart",sarcastic
T000452440,b'Oh look philosophy professor is late again shocker,sarcastic
T000452441,"b""Well that doesn't make me worry or anything",sarcastic
T000452442,b'SO to those deer that I was a foot away from just hitting fuckyou,sarcastic
T000452443,b'I have such reliable friends,sarcastic
T000452444,So many germans commenting #not',sarcastic
T000452445,b'@mrsdashiell she my favorite teacher wed mar 201519 pkt,sarcastic
T000452446,yes hahaha what a terrible punishment hahaha,sarcastic
T000452447,"b""My mom jus had someone come up to me to tell me to read and it'll stop me from getting tattoos $$SAR$$""",sarcastic
T000452448,Crib Crib a lot That will solve it,sarcastic
T000452449,b'andy & daniel must love how dressed up i get to go to the movies with them #workoutclothessun mar 053534 ist,sarcastic
T000452450,b'I am not a boy but damn Im hotter than your boyfriend ) haha,sarcastic
T000452451,b'What a day ',sarcastic
T000452452,"b""Well this isn't awkward at all #sarcasm""",sarcastic
T000452453,candidate with experience presenting children's shows just make him of the,sarcastic
T000452454,b'I just love when my sister uses all the hot water and I get to take a freezing cold shower #not',sarcastic
T000452455,"b""She's a female that's prolife unborn babies are actually alive crazy right @TXTrendyChick""",sarcastic
T000452456,"b""Yeah getting up at is totally my thing I'm done with being sick now",sarcastic
T000452457,PLEASE let me know when you have a valid concept,sarcastic
T000452458,b'Because yesterday was one of the happiest day of my life ) imnotstupid bored $$SAR$$',sarcastic
T000452459,blog posts are black twitter foolery and copying stories off of other websites #sarcasm #beoriginalfri mar 181009 pkt,sarcastic
T000452460,"b""Thank God I too hope it doesn't keep going back and forth While I live across the river in Parkville Missouri I used to live in Park Kansas and went to school there I think they are generally pretty good public schools it's just the state school board that keeps effing everything up when they get some on board",sarcastic
T000452461,b'Photoset shezzablue iniquitysoneoftheperks deans tired of your facts sam sarcastic,sarcastic
T000452462,"#THGRIS the my knowledge of PLANTS Bet I'm gonna get a high score #not""",sarcastic
T000452463,b'And my mom telling me that made my day times better,sarcastic
T000452464,"I'm sure it'll all work out Everyone knows to give someone a chance once they've served their time #sarcasm""",sarcastic
T000452465,b'Malaysia is so damn right now that I had to tweet this Hope it will cool us down,sarcastic
T000452466,"b""I hate my immune system I have to stay home AGAIN because I'm sick great",sarcastic
T000452467,going to bed at so I can get up at for sucks too Meeting with DM at before corporate visit at Yaay,sarcastic
T000452468,b'when you get food out for yourself and your dad eats it #sarcasmwed mar 200910 pkt,sarcastic
T000452469,"b""@RealLiamPayne damn I saw that vine your <or> you're significant other strong strong ) I could probably still beat u""",sarcastic
T000452470,b'Love how cars just love to drive a little too close to the sidewalk on rainy days ) ) ) ) ) ),sarcastic
T000452471,b'Fucking ecstatic for tommorow,sarcastic
T000452472,"b""Flipped off three people on my way to school today so I know it'll be a good day""",sarcastic
T000452473,"b""Can't wait to wake up tomorrow and work notsarcastic",sarcastic
T000452474,"b""Makes sense people don't believe what the Bible says about Jesus but trust sources that havent even been confirmed",sarcastic
T000452475,b'I like how I fight with my mom about money',sarcastic
T000452476,"klk's clothing plot is amazing #Sarcasm""",sarcastic
T000452477,"b'Beth if you have to put ""sarcasm"" ""sarcasm"" in your tweet you\'re doing it wrong",sarcastic
T000452478,"b""Still SO ANGRY But YES you're RIGHT victims of gaslighting and near emotional abuse should regret hitting back at their abusers #sarcasm""",sarcastic
T000452479,b'When you cant sleep and he turns his back you and snore Perfect Ugh,sarcastic
T000452480,b'I really enjoy not knowing who I can count on these days,sarcastic
T000452481,b'This marriage is just as perfect to us and those that were our any heterosexual,sarcastic
T000452482,"She was probably taught in school that lives matter' Really it is not her fault but the school's fault #sarcasm""",sarcastic
T000452483,only if you knew lady )',sarcastic
T000452484,"b""saturday night i'm having so much fun #sarcasm""",sarcastic
T000452485,b'What a fun Friday night #NOT',sarcastic
T000452486,b'Thanks for starting the programme like that #NOT',sarcastic
T000452487,Bravo Was just thinking that you ought to be this autumnwinter,sarcastic
T000452488,par Log hain jo ho Department ki band pay hoye hain #Seriously',sarcastic
T000452489,b'Well that was planned well,sarcastic
T000452490,"b""Can't believe the Duggars were here in NC and I didn't get to see them """,sarcastic
T000452491,b'how sweet of your close people giving courage to you alert,sarcastic
T000452492,"Welcome to corporations #sarcasm""",sarcastic
T000452493,"b""We're a ball of fun on #not @RanRaeFan",sarcastic
T000452494,"have a loss of people"" because of people in relationships that don\'t produce children #sarcasm'",sarcastic
T000452495,"b""Can't wait for my am math class",sarcastic
T000452496,b'Nothing better than an after school mass,sarcastic
T000452497,b'I almost died when my teacher said we might hit degrees next week its so cold outside I miss the warm weather )',sarcastic
T000452498,"b'Hey they should add Power Force to the guest list cause they\'re the ""Best Of The Best Of The of the fans YepISaidIt'",sarcastic
T000452499,@iWrightMusic hmm notifications make me super excited #Not,sarcastic
T000452500,b'Love feeling like a piece of meat,sarcastic
T000452501,b'@ardijefri baru twett bantuanx ya D',sarcastic
T000452502,"b""You're so fucking cool Can I have your autograph """,sarcastic
T000452503,"b""Oh I see the flames on the side of your truck So I know I'll never be able to keep up with you You're so cool",sarcastic
T000452504,"Failed physics What a shocker didn't see that coming #sarcasm""",sarcastic
T000452505,"b""Well this was just a fabulous weekend now wasn't it",sarcastic
T000452506,"Good times A notorious ' omoonile ' is contesting the chairmanship of my local government Twitter no dey charge for""",sarcastic
T000452507,b'Just driven from to St light on nothing very sad #not wanted',sarcastic
T000452508,poltico Que lindo pas,sarcastic
T000452509,@GatesRobin @SLeeds Pay close attention Gary he's real,sarcastic
T000452510,b'Well I guess I better turn the heat back on Gotta love weather $$SAR$$',sarcastic
T000452511,b'Gosh I send some of the most attractive snapchats,sarcastic
T000452512,"b""well she doesn't actually know it so no worries haha but really really I didn't think that was possible",sarcastic
T000452513,"b""It's pretty cute when your own family talks shit about ya""",sarcastic
T000452514,b'Prove something besides your ignorance Homoerectus and differ in size bone size bone structure number of bones as well as the length and of individual bones I can see why people are laughing at you',sarcastic
T000452515,b'About to binge on Cyber This is gonna be #sarcasm',sarcastic
T000452516,"b""Glad to know colleges don't support the nation wide holiday tomorrow Day) like every other school and federal businesses #not""",sarcastic
T000452517,b'Thanks to my for breaking my laminate and for my hair #LOL #NOT ',sarcastic
T000452518,b'Wow my DMs are blowing up with questions rn #not',sarcastic
T000452519,"b""Look at all those sweet MMAjiu moves Batista does since his return He really has learned a lot since he's been gone",sarcastic
T000452520,Your really going to accomplish something with your life you know that,sarcastic
T000452521,"b""How is it Caine can get helicopters for almost every episode but our military can't Crazy budget #Miami #sarcasm""",sarcastic
T000452522,b'I really like working on content with lots and lots of pictures,sarcastic
T000452523,b'I come from a bit of a bias on this subject because this was my area of endeavor for some years,sarcastic
T000452524,is looking amazing by the what about you,sarcastic
T000452525,"b""Oh my gosh your so right your so mature and always know what's right #not""",sarcastic
T000452526,"b""You acknowledge his aunt graduating but don't say anything about his uncle graduating How sweet of you #not""",sarcastic
T000452527,b'New just to say good night guys not #selca #not',sarcastic
T000452528,b'well done on the recent secondary school allocation process obviously using computers to do a humans job,sarcastic
T000452529,"b""Oh I just can't wait to go out in this monsoon #not""",sarcastic
T000452530,b'Wow I would so much rather work all day than spend the day with my dad #ihateeverything',sarcastic
T000452531,b'That was a easy F i just got on my accounting quiz feelin successful #not',sarcastic
T000452532,(Conscious) = Future #seriously',sarcastic
T000452533,b'this question is so challenging,sarcastic
T000452534,b'When do we play #USAHockey,sarcastic
T000452535,inches of snow forecasted last night inches forecasted tonight $$SAR$$',sarcastic
T000452536,b'Great what about you to start my Monday pause,sarcastic
T000452537,your kindness and concern for me is always so endearing you're significant other sweet Lol,sarcastic
T000452538,"b""don't think that is why he feels epic",sarcastic
T000452539,b'Why does college station want to beat the president Am I missing something,sarcastic
T000452540,b'most exciting saturday night ever,sarcastic
T000452541,"So a doesn't have time to talk to me but has time to talk to other people Lovely #Sarcasm""",sarcastic
T000452542,b'I really love having the most annoying cough and a back ache,sarcastic
T000452543,b'Gotta love running late #not,sarcastic
T000452544,b'my friends are so so mature $$SAR$$',sarcastic
T000452545,off all warm up the bus & get your fucking duke asses off the dean done floor inourhouse,sarcastic
T000452546,"b""I guess you've just totally quit on the being a thing then thatscool",sarcastic
T000452547,b'Thanks fox sports I really wanted to hear the screams of a player whose knee just $$SAR$$',sarcastic
T000452548,"b""What do I do on a night to myself Make edible cookie that's what #not""",sarcastic
T000452549,His research was incredibly thorough thorough ),sarcastic
T000452550,still waiting for my order too No one to speak to #Sarcasm',sarcastic
T000452551,you ballin ' buying your parents a new Honda RHOBH,sarcastic
T000452552,I don't get the logic for exemption from unfair laws If system needs reform make the case Otherwise unfair is,sarcastic
T000452553,b'Best friends Nope that person disappears when they get a significant other awesome #not ',sarcastic
T000452554,b'Love it when all your colleagues help you,sarcastic
T000452555,"b"" MN minimum wage to billion per hour Don't even think of giving people the skills to help pull themselves up """,sarcastic
T000452556,"b""Sorry should've used the""",sarcastic
T000452557,b'This mf always think somebody on his time,sarcastic
T000503756,b'in memory of my wonderful dad always missed loved #strong,non-sarcastic
T000503757,b'mt have a pride #love from @denverpique #mpowerment',non-sarcastic
T000503758,b'fathers day love you daddy',non-sarcastic
T000503759,b'i have decided to listen to music today instead of listen to the news,non-sarcastic
T000503760,"b""i will be back in a few days i'll keep ya'll updated its going to be a blast can't wait",non-sarcastic
T000503761,"b""i can't believe i'm in the usa so happy )",non-sarcastic
T000503762,id have hit your first ball for hundred and out',non-sarcastic
T000503763,b'@lizellehiddles hi #weekend for you too many #love &amp ))',non-sarcastic
T000503764,b'rt the power you have is to be the best version of yourself you can be so you can create a better world ~ ashley,non-sarcastic
T000503765,b'shout out to for my favorites station #jammin',non-sarcastic
T000503766,is today's memory and tomorrow is today's dream have an awesome day #life,non-sarcastic
T000503767,up the bedroom is how i am spending my saturday with some music on and a glass of coke',non-sarcastic
T000503768,b'rt sooooo to see this',non-sarcastic
T000503769,room travel rn position) happy valley or usa #jobs valley pls travel',non-sarcastic
T000503770,b'early night for m ahead of tomorrow event night all )',non-sarcastic
T000503771,b'london bound off to see with support from the amazing &amp #music #london',non-sarcastic
T000503772,b'we had a great panel on the of the public service,non-sarcastic
T000503773,b'rt chef looks great in red,non-sarcastic
T000503774,b'rt we have an unlimited source of love to share with the world #dance #thinkbigsundaywithmarsha',non-sarcastic
T000503775,b'i have got the call i was waiting for from i am in the field for the in,non-sarcastic
T000503776,b'we working right #now,non-sarcastic
T000503777,conference starts in #e3 #bethesda',non-sarcastic
T000503778,b'coop interview with kik in minutes #nervous',non-sarcastic
T000503779,b'just noticed tht got best actress critics award for malli malli idi roju so all my favs got an award,non-sarcastic
T000503780,@sfosternyc @bollymernard fab picture for #youngertv ',non-sarcastic
T000503781,b'okay season is am done scaring my household with screams and cursing #stanleycup #pens ',non-sarcastic
T000503782,b'rt the countdown is almost over #onemoresleep,non-sarcastic
T000503783,b'rt i will be the sun that burns away the overcast from your heart #love #life',non-sarcastic
T000503784,b'the most great and men in the and he is my dad i love papa #fathersday #smiles,non-sarcastic
T000503785,b'i am thankful for books #thankful httpstcofdgqdqnxrj',non-sarcastic
T000503786,b'best family ever always have been always will from original till now love them all x',non-sarcastic
T000503787,"b""father's day to #you may #god #bless you today &amp everyday",non-sarcastic
T000503788,"b""#father's day to all #dad's that are no longer with us we miss and love you""",non-sarcastic
T000503789,b'creating more smiles at the office #employees',non-sarcastic
T000503790,b'rt the happiest trails u elizabeth until we c each other again ',non-sarcastic
T000503791,very excited to see you on friday for pony club thanks for guest list tickets #amazing',non-sarcastic
T000503792,b'one week until moves into the new workshop at #manspace',non-sarcastic
T000503793,b'orange is the new black season #oitnb',non-sarcastic
T000503794,b'happiness comes from a grateful heart #motivation #inspiration',non-sarcastic
T000503795,b'new website coming soon',non-sarcastic
T000503796,b'playing for the first time this year #tomorrowland',non-sarcastic
T000503797,"b""rt i'm glad to announce that i'm officially a future psychology student yes i was accepted to the faculty for september #""",non-sarcastic
T000503798,b'now playing on radio step on by mondays classic &amp new #music tune in at ',non-sarcastic
T000503799,trip to tomorrow #team,non-sarcastic
T000503800,b'i am generous#iam #affirmation',non-sarcastic
T000503801,looking forward to meeting you and the gang,non-sarcastic
T000503802,the general manager of the eureka store is just amazing so kind &amp helpful very refreshing',non-sarcastic
T000503803,b'when does your makeup and you feel fleek af on a wednesday night #humpday #makeup ',non-sarcastic
T000503804,"b""now and then it's good to pause in our pursuit of happiness and just be guillaume #quote #motivation""",non-sarcastic
T000503805,b'will surprise le parents for their wedding anniversary',non-sarcastic
T000503806,b'new job new beginning lets make a change',non-sarcastic
T000503807,b'only day to go till the changes are announced,non-sarcastic
T000503808,b'rise and grind what will today bring #life #business',non-sarcastic
T000503809,b'great news is gonna help me photograph my jewellery one step closer to the shop,non-sarcastic
T000503810,we will see you there',non-sarcastic
T000503811,b'enjoying quality time with the ones i love',non-sarcastic
T000503812,b'working to develop your this #fun,non-sarcastic
T000503813,b'@shanedawson fathers love you ',non-sarcastic
T000503814,wonderful daily #inspiration be )',non-sarcastic
T000503815,b'be the reason someone smiles today anon #inspiration #quote #inspirational',non-sarcastic
T000503816,"b""just heard are on tomorrow's elsewhere",non-sarcastic
T000503817,b'rt check out this fantastic new music video from we have lots of exciting news and this is just the start htt',non-sarcastic
T000503818,"slings &amp de fat drop """,non-sarcastic
T000503819,"b'#fathers #day to all the force be with you"" the is on'",non-sarcastic
T000503820,cookies tomorrow for saturday #cantwait',non-sarcastic
T000503821,"b""don't let life just happen how to live life and not stumble along | #family #life""",non-sarcastic
T000503822,it will be i know looking forward to hearing your music this is my first time',non-sarcastic
T000503823,weekend my friend kiss,non-sarcastic
T000503824,is back #niece #uncle',non-sarcastic
T000503825,b'gonna watch finding dory tomorrow #findingdory #stoked',non-sarcastic
T000503826,"b""can't wait to go on this trip down to texas in august #planning #cantwait""",non-sarcastic
T000503827,b'rt thank you for a but tired goddess end of #humanfootstool',non-sarcastic
T000503828,b'me before you is now showing omg ',non-sarcastic
T000503829,b'what we become #positivethinking #loveyourself #lovemylife',non-sarcastic
T000503830,b'yes she is bridge bay ridge,non-sarcastic
T000503831,"b""couldn't be happier just placed my order thanku for finding and holding them for me",non-sarcastic
T000503832,expands to west coast with the addition of stephen,non-sarcastic
T000503833,"b""i'm in my garage flowers in a light thunderstorm blasting this is the best""",non-sarcastic
T000503834,b'starting the new job tomorrow so should be able to get a set stream schedule together in the next few days',non-sarcastic
T000503835,b'yeah made it #training,non-sarcastic
T000503836,"b""life isn't a race allow yourself to be in the present #fun""",non-sarcastic
T000503837,b'i am safe #iam #affirmation httpstcomejigvgwzn',non-sarcastic
T000503838,along if you feel like a room without a roof ',non-sarcastic
T000503839,b'rt @planetrov perfectly timed bingbong board',non-sarcastic
T000503840,b'just did the most thing ever just booked flights for philadelphia and new york for this weekend ',non-sarcastic
T000503841,b'#fathersday to my loving dad happy fathers day to my too both the dads of',non-sarcastic
T000503842,chicken stir fry with extra served with rice and corn #leeds',non-sarcastic
T000503843,b'thanks u as look really pretty',non-sarcastic
T000503844,b'good morning #friday #fridayfeeling',non-sarcastic
T000503845,b'whatever makes you feel bad leave it whatever makes you smile keep it #life #fit',non-sarcastic
T000503846,we should get these',non-sarcastic
T000503847,b'can i see you follow me in twitter weekend pennsylvania',non-sarcastic
T000503848,b' #uk risks skewed to the for interest rates going into the referendum bank #blog #silve',non-sarcastic
T000503849,"b'just spent on secret online to reach the shipping"" &amp its semiannual sale '",non-sarcastic
T000503850,b'how great is our god #sing #vokalist',non-sarcastic
T000503851,b'rt next mkf meet again with coming soon #shooting',non-sarcastic
T000503852,b'so thrilled to see your smiling guy performing one final time on the stage thanks for your incredible support',non-sarcastic
T000503853,b'the greatest #love of all #friday',non-sarcastic
T000503854,b'you said you know me my friend but you really just know the old me #humble #motivated',non-sarcastic
T000503855,"b""no it's not about but that shouldn't stop us from trying right team",non-sarcastic
T000503856,b'proud to be #smile,non-sarcastic
T000503857,b'rt kyc members really passionate about inter and environmental issues as basis of their first p',non-sarcastic
T000503858,b'so pumped for after praying with my team and being over by,non-sarcastic
T000503859,b'fathers days to all the men who try their best to be there everyday and not just today',non-sarcastic
T000503860,b'late night treats with the hubby waiting for our bonus recap,non-sarcastic
T000503861,b'rt we are shortlisted as a finalist for dance school of the year @anneidswalker',non-sarcastic
T000503862,b'rt morning #tgif #goodmorning #inspire httpstconlhzxdvlnj',non-sarcastic
T000503863,planned on tv link day june inc #bariatrictvcare link workers booked to,non-sarcastic
T000503864,b'tonight we won a for our campaign ',non-sarcastic
T000503865,b'be kind be happy be peaceful #summer solstice friday',non-sarcastic
T000503866,b'with the prettiest girls ever #girls #englishclass',non-sarcastic
T000503867,b'from one mission to another back to the having fun #saturday #evening ',non-sarcastic
T000503868,b'rt i just love the #yoga dogs stay,non-sarcastic
T000503869,"b'all we have in this life is to decide now in this moment to be happy ""this is",non-sarcastic
T000503870,b' dope new pillows from available pinktastiketsycom ',non-sarcastic
T000503871,"b""i love so much can't wait to get logic pro in the future """,non-sarcastic
T000503872,b'i could watch this video of #cavs fans freaking out all morning long pure joy,non-sarcastic
T000503873,kong owner happy pdf ebook #kong,non-sarcastic
T000503874,b'@jessglynne hey come on no more than you deserve see you next time seeing you it ',non-sarcastic
T000503875,b'does #trying to be make us #un#happy,non-sarcastic
T000503876,b'i am thankful for spring #thankful httpstcosvctslvufi',non-sarcastic
T000503877,"b""i don't need reasons i am because i choose to be""",non-sarcastic
T000503878,b'omg new god of war im so ',non-sarcastic
T000503879,b'my boy (at bali bird [pic] ',non-sarcastic
T000503880,b'time do for the first five,non-sarcastic
T000503881,b'thanks for making my shadow stick to me,non-sarcastic
T000503882,download my new debut single now on any digital outlet,non-sarcastic
T000503883,b'my orders came in #',non-sarcastic
T000503884,@eeunwooj ty my dear awww,non-sarcastic
T000503885,b'happy friday the weekend has started #tgif',non-sarcastic
T000503886,"b""check father's day dad i know it's tough being a single father but you do such """,non-sarcastic
T000503887,b'rt wooo getting a text saying your order is arriving tomorrow #myfav,non-sarcastic
T000503888,is finally back at #matiesequestrian she makes happy even after a bad day #horses,non-sarcastic
T000503889,"b""did you miss yesterday's post the pursuit of happiness #thursdaythoughts #lbloggers #blog",non-sarcastic
T000503890,pls come back with some album together',non-sarcastic
T000503891,b'en route to see et al in magic of the musicals at xx',non-sarcastic
T000503892,b'happy birthday to me,non-sarcastic
T000503893,b'#model i love u take with u all the time in ur httpstcofdhtefoauz',non-sarcastic
T000503894,"b""so next week's gig is outdoors i haven't played in a concert outside since day in",non-sarcastic
T000503895,"b""stop hating yourself for everything you aren't start loving yourself for what you #loveyourself""",non-sarcastic
T000503896,b'now i have time to play #fuji @ bern,non-sarcastic
T000503897,will be underway this time next week have you booked your spot,non-sarcastic
T000503898,"b""my gym playlist tonight coz i'm too stoked on the upcoming concert here in the """,non-sarcastic
T000503899,"#tukuza father's day to all fathers""",non-sarcastic
T000503900,"b""rt we'll have two stops on the way down and we should arrive at the park at",non-sarcastic
T000503901,@hotmilkpodcast on saturday i want the ladies to join us up front and get involved,non-sarcastic
T000503902,b'nearly time to fly and spend a few days at,non-sarcastic
T000503903,b'rt happy birthday precious we love you so much day,non-sarcastic
T000503904,b'rt lovely thailand what a wonderful welcome in hitchhiking to hpaan #adventure,non-sarcastic
T000503905,b'we have some amazing talent coming to grace the mic on thursday june #newmusic',non-sarcastic
T000503906,b'at a supermarket near you #theclimbisthesweetest #blessed',non-sarcastic
T000503907,b'rt @captsingh @offvalpo on my boat i',non-sarcastic
T000503908,b'be n #healthy i think wherever you are from you should be able to follow your passion tom hiddleston #ff twhiddleston twtlyc',non-sarcastic
T000503909,b'rt proud senator dick gordon,non-sarcastic
T000503910,b' adjective meaning excited in #cantonese',non-sarcastic
T000503911,b'just scheduled my behind the when time yayy',non-sarcastic
T000503912,b'all i have to do is submit my background check consent form and i will have completed my application for my first guide dog ever',non-sarcastic
T000503913,b'love the art institute in chicago #love,non-sarcastic
T000503914,b'the latest the free your mind projects thanks to @helenmouton #love',non-sarcastic
T000503915,b'funny moments with #workworkwork',non-sarcastic
T000503916,"b""one of their own told them off can't stand #religioushypocrites""",non-sarcastic
T000503917,b'playing in a closest to the pin challenge with balls playing with two scratch players and holding my own on this shot',non-sarcastic
T000503918,please please leave king of hearts &amp little episodes in for the hough gigplease',non-sarcastic
T000503919,b'rt 5 tips to wiping negativity out of your life #success #flourish',non-sarcastic
T000503920,"b'sunday ""gyan"" life is not to live it\'s to celebrate stay #motivating #forever your'",non-sarcastic
T000503921,"b'rt ""most folks are as happy as they make up their minds to be"" lincoln) #quote",non-sarcastic
T000503922,b'nothing more than sat on a train on the way home after a long week',non-sarcastic
T000503923,b'beautiful day for a walk walk #williamssyndrome',non-sarcastic
T000503924,thank you your accounts looks interesting tweeting )',non-sarcastic
T000503925,b'i feel fortunate to welcome your good wishes and hope to spend this time for helping the needy n make them ',non-sarcastic
T000503926,yieaaahh baby is because it's #friday,non-sarcastic
T000503927,would like to wish this lovely couple a one year #wedding #anniversary we',non-sarcastic
T000503928,this is gonna be can sense it ',non-sarcastic
T000503929,these look so rad i can't to see what you all have coming for us down the road #eibonpress,non-sarcastic
T000503930,"b""so new album is out""",non-sarcastic
T000503931,b'rt our tickets have just arrived ahead of the ceremony tomorrow #goodluck',non-sarcastic
T000503932,brother is back for the whole week peyton is very happy dog,non-sarcastic
T000503933,"on the progressive house top releases""",non-sarcastic
T000503934,"b""last day of school practice today game tomorrow gotta love it who's haha",non-sarcastic
T000503935,b'#happiness is a choice not a result nothing will make you happy until you choose to be ',non-sarcastic
T000503936,"b""im so excited for and dancers keep your head down i want to indulge myself with performances """,non-sarcastic
T000503937,b'this experience is going to be amazing',non-sarcastic
T000503938,b'just one more sleep #beauty,non-sarcastic
T000503939,b'rt another great tonight the harvest is ready ps ps,non-sarcastic
